Name,Year,Credits,Classes Taken...
Garrett Kemper,2,54,MTH180
Kamden Ashmore,3,60,CSC211
Kishan Patel,2,32,"CSC211, MTH180"
Andrew Teh,1,15,"MTH180, CSC211"
Jonathan Schrader,4,108,"CSC211, CSC212, MTH180, CSC340"
John Doe,1,0,
Jimmy Neutron,4,180,"CSC106, CSC110, CSC211, CSC212, CSC301, CSC305, CSC340, CSC411, CSC412, CSC440, CSC477, CSC310, CSC372, CSC402, MTH180, MTH141, MTH142, MTH215, PHY111, PHY112, WRT104, WRT227"
Emily Capwell,2,41,"CSC211, CSC212, WRT104, CSC110, MTH180, CSC212"
Alexis Reynoso,3,104,"CSC212, CSC402, CSC411, CSC477, CSC212, MTH142, CSC477, CSC402, CSC310, MTH215, CSC440, MTH180, MTH142, WRT104, MTH142, MTH180, CSC412"
Susannah Mancuso,4,108,"CSC340, CSC212, CSC106, CSC372, PHY111, CSC211, MTH142, PHY111, CSC110, CSC106, CSC412, WRT104, MTH141, MTH180, CSC301, CSC212, CSC106, MTH142"
Yehuda Slagle,2,52,"CSC310, CSC411, WRT104, PHY111, WRT227, CSC305, CSC211, PHY111"
Keon Caswell,4,102,"CSC301, CSC440, CSC411, CSC340, CSC110, CSC340, CSC301, MTH142, CSC211, CSC440, CSC412, PHY112, CSC212, MTH142, CSC340, CSC440, CSC402"
Martin Bravo,4,157,"CSC212, MTH141, CSC110, PHY112, CSC411, MTH142, CSC305, CSC301, CSC340, CSC440, CSC372, MTH180, CSC340, CSC212, WRT104, CSC301, CSC477, CSC310, CSC212, PHY112, PHY111, MTH215, MTH180, CSC301, CSC310, CSC411"
Gregorio Schaffer,1,27,"CSC412, CSC211, CSC106, CSC411"
Jelani Mena,2,55,"CSC110, CSC211, MTH180, PHY111, MTH141, CSC106, CSC440, CSC310, CSC305"
Monserrat Hadley,1,36,"CSC372, CSC402, MTH180, PHY111, CSC305, CSC212"
Marques Huang,1,39,"WRT104, CSC340, MTH142, CSC340, CSC440, CSC411"
Sadie Sheldon,2,27,"CSC212, CSC305, CSC477, CSC411"
Karleigh Snead,2,21,"CSC477, WRT104, WRT227"
Dangelo Parra,1,20,"CSC310, CSC305, CSC212"
Mandy Himes,4,51,"CSC211, MTH141, CSC305, CSC411, CSC411, MTH180, CSC212, WRT104"
Clint Bush,1,21,"CSC372, CSC372, CSC412"
Shelly Griffith,4,47,"CSC412, CSC440, MTH215, PHY112, CSC402, MTH180, CSC412"
Jake Vieira,3,92,"MTH215, WRT227, MTH215, WRT104, MTH215, CSC402, PHY111, CSC106, PHY112, CSC212, CSC411, CSC411, CSC402, CSC310, CSC440"
Bernard Sanderson,2,42,"CSC411, PHY111, WRT227, CSC106, CSC211, PHY112, WRT104"
Harris Forman,2,77,"CSC301, PHY111, CSC412, CSC477, CSC412, CSC106, CSC340, MTH215, PHY111, CSC212, CSC212, CSC106"
Joshua Shay,2,60,"WRT104, CSC477, CSC411, CSC110, CSC412, CSC106, CSC477, MTH141, MTH180, CSC110"
Keshaun Ogle,4,133,"MTH215, MTH180, CSC211, CSC310, CSC477, PHY111, CSC372, CSC211, CSC110, CSC106, WRT104, MTH141, CSC411, CSC402, CSC372, CSC402, CSC340, CSC211, WRT104, MTH142, CSC310, CSC305"
Chaya Crowell,3,47,"CSC411, CSC212, CSC440, CSC440, CSC412, CSC411, WRT104"
Klarissa Harkins,3,61,"WRT227, WRT104, MTH215, CSC110, CSC477, CSC106, PHY112, CSC402, CSC211, CSC305"
Jaquez Paris,4,40,"WRT227, CSC110, CSC402, CSC212, CSC372, CSC412"
Marcelo Hess,4,118,"CSC477, MTH141, CSC477, CSC301, MTH215, CSC212, CSC305, CSC372, CSC440, CSC211, CSC412, PHY111, MTH180, CSC412, CSC440, CSC212, PHY111, WRT104, MTH215"
Margo Palma,3,73,"CSC305, CSC477, CSC211, CSC301, CSC110, CSC310, CSC212, CSC440, CSC402, CSC305, CSC301, CSC440"
Briley Brenner,2,31,"PHY112, MTH141, CSC340, CSC301, MTH141"
Kathleen Gary,4,82,"CSC340, CSC411, PHY112, MTH141, WRT104, MTH141, MTH141, CSC110, CSC477, MTH180, CSC110, CSC106, MTH215"
Presley Broughton,4,131,"CSC301, CSC305, MTH142, WRT227, CSC477, MTH180, CSC372, CSC110, CSC440, CSC211, CSC211, PHY112, MTH180, WRT227, CSC305, CSC477, CSC372, PHY112, CSC310, MTH142, PHY112"
Anabel Pritchard,4,148,"CSC440, CSC440, WRT227, CSC411, CSC402, CSC305, MTH142, CSC301, CSC411, CSC110, CSC440, MTH141, PHY112, WRT227, CSC372, CSC412, PHY112, WRT104, WRT104, CSC110, CSC110, CSC301, MTH215, CSC106"
Litzy Heinz,4,51,"MTH142, CSC412, PHY111, CSC310, CSC477, WRT227, CSC477, CSC110"
Tasha Dietrich,2,49,"CSC412, CSC372, CSC440, CSC310, CSC411, PHY111, PHY111, CSC440"
Beatriz Haag,1,19,"CSC412, MTH215, CSC340"
Fernando Combs,4,120,"CSC372, WRT104, CSC305, CSC440, MTH142, PHY112, CSC305, CSC110, PHY112, CSC412, WRT104, CSC212, MTH141, MTH141, CSC305, CSC310, CSC211, MTH215, CSC402, CSC340"
Jaidyn Maloney,3,76,"PHY111, MTH215, MTH142, CSC402, CSC212, CSC212, CSC411, CSC301, CSC212, PHY112, MTH215, MTH142"
Harvey Villareal,3,84,"CSC411, CSC372, CSC340, CSC340, CSC477, WRT227, WRT227, CSC340, WRT104, MTH141, PHY112, PHY112, CSC340, CSC212"
Triniti Moffett,3,53,"PHY112, CSC301, CSC411, CSC211, CSC412, MTH215, CSC110, CSC372"
Lamar Giordano,1,33,"CSC310, MTH141, CSC305, CSC402, CSC305"
Dimitri Vetter,2,38,"MTH215, CSC106, CSC372, CSC110, MTH142, MTH180"
Sheldon Hollins,3,62,"CSC301, MTH142, CSC301, CSC110, PHY112, CSC477, CSC340, CSC305, MTH142, CSC440"
David Creamer,3,103,"CSC106, WRT104, CSC305, CSC477, MTH215, CSC402, PHY111, WRT104, PHY112, CSC340, MTH142, CSC402, CSC212, CSC305, CSC211, CSC372, CSC372"
Bernardo Coffman,1,35,"MTH141, MTH142, PHY112, MTH141, CSC310"
Isabela Nagy,3,64,"CSC340, CSC411, CSC402, MTH215, CSC212, CSC372, PHY112, WRT227, CSC412, CSC411"
